prediction,original sign,result
Man,Man,CORRECT
Colors,Colors,CORRECT
Trap,Trap,CORRECT
Drawer,Drawer,CORRECT
Run,Run,CORRECT
Milk,Milk,CORRECT
Buy,Buy,CORRECT
Milk,Milk,CORRECT
Give,Give,CORRECT
Opaque,Opaque,CORRECT
Chewing-gum,Chewing-gum,CORRECT
Opaque,Opaque,CORRECT
Water,Rice,WRONG
Nada,Nada,CORRECT
Bitter,Bitter,CORRECT
Yogurt,Yogurt,CORRECT
Photo,Photo,CORRECT
Pink,Pink,CORRECT
Buy,Buy,CORRECT
Light-blue,Light-blue,CORRECT
Thanks,Thanks,CORRECT
Help,Help,CORRECT
Women,Women,CORRECT
Patience,Patience,CORRECT
Where,Where,CORRECT
To land,To land,CORRECT
Women,Women,CORRECT
To land,To land,CORRECT
Barbecue,Barbecue,CORRECT
Give,Give,CORRECT
Patience,Patience,CORRECT
Where,Where,CORRECT
Dance,Dance,CORRECT
Milk,Milk,CORRECT
Ship,Ship,CORRECT
Colors,Colors,CORRECT
Birthday,Birthday,CORRECT
Mock,Mock,CORRECT
Catch,Catch,CORRECT
Man,Man,CORRECT
Deaf,Deaf,CORRECT
Run,Run,CORRECT
Buy,Buy,CORRECT
Photo,Photo,CORRECT
Photo,Photo,CORRECT
Last name,Last name,CORRECT
Son,Son,CORRECT
Red,Red,CORRECT
Accept,Accept,CORRECT
Run,Run,CORRECT
Argentina,Argentina,CORRECT
Skimmer,Skimmer,CORRECT
Run,Run,CORRECT
Patience,Patience,CORRECT
Mock,Mock,CORRECT
Call,Call,CORRECT
Deaf,Deaf,CORRECT
Barbecue,Barbecue,CORRECT
Copy,Copy,CORRECT
Coin,Coin,CORRECT
Learn,Learn,CORRECT
Chewing-gum,Chewing-gum,CORRECT
Country,Country,CORRECT
Copy,Copy,CORRECT
Dance,Dance,CORRECT
Skimmer,Bright,WRONG
Candy,Candy,CORRECT
Photo,Photo,CORRECT
Away,Away,CORRECT
Uruguay,Uruguay,CORRECT
Colors,Colors,CORRECT
Dance,Dance,CORRECT
Food,Food,CORRECT
Yogurt,Yogurt,CORRECT
Man,Man,CORRECT
Dance,Dance,CORRECT
Rice,Rice,CORRECT
Dance,Dance,CORRECT
Candy,Candy,CORRECT
Perfume,Perfume,CORRECT
Appear,Appear,CORRECT
Shut down,Shut down,CORRECT
Last name,Last name,CORRECT
Red,Red,CORRECT
Perfume,Perfume,CORRECT
Name,Name,CORRECT
Barbecue,Barbecue,CORRECT
Enemy,Enemy,CORRECT
Drawer,Born,WRONG
Bathe,Bathe,CORRECT
To land,To land,CORRECT
Patience,Patience,CORRECT
Copy,Copy,CORRECT
Drawer,Drawer,CORRECT
Music,Music,CORRECT
Spaghetti,Spaghetti,CORRECT
Music,Music,CORRECT
Argentina,Argentina,CORRECT
Deaf,Deaf,CORRECT
Realize,Realize,CORRECT
Spaghetti,Spaghetti,CORRECT
Opaque,Opaque,CORRECT
Map,Map,CORRECT
Sweet milk,Sweet milk,CORRECT
Accept,Accept,CORRECT
Argentina,Argentina,CORRECT
Breakfast,Breakfast,CORRECT
Hungry,Find,WRONG
Argentina,Argentina,CORRECT
Call,Call,CORRECT
Realize,Realize,CORRECT
Realize,Realize,CORRECT
Coin,Coin,CORRECT
Nada,Nada,CORRECT
To land,To land,CORRECT
Light-blue,Light-blue,CORRECT
Shut down,Shut down,CORRECT
Light-blue,Light-blue,CORRECT
Appear,Appear,CORRECT
Map,Map,CORRECT
Catch,Catch,CORRECT
Give,Give,CORRECT
Red,Red,CORRECT
Opaque,Opaque,CORRECT
Man,Man,CORRECT
Buy,Buy,CORRECT
Birthday,Birthday,CORRECT
Uruguay,Uruguay,CORRECT
Photo,Photo,CORRECT
Candy,Candy,CORRECT
Coin,Coin,CORRECT
Uruguay,Uruguay,CORRECT
Call,Call,CORRECT
Skimmer,Skimmer,CORRECT
Ship,Ship,CORRECT
Uruguay,Uruguay,CORRECT
Buy,Buy,CORRECT
Red,Red,CORRECT
Shut down,Shut down,CORRECT
Mock,Mock,CORRECT
Copy,Copy,CORRECT
Bitter,Bitter,CORRECT
Son,Son,CORRECT
Food,Food,CORRECT
Spaghetti,Spaghetti,CORRECT
Photo,Photo,CORRECT
Appear,Appear,CORRECT
Run,Run,CORRECT
Colors,Colors,CORRECT
Birthday,Birthday,CORRECT
Opaque,Opaque,CORRECT
Born,Born,CORRECT
Map,Map,CORRECT
Map,Map,CORRECT
Shut down,Shut down,CORRECT
Man,Man,CORRECT
Last name,Last name,CORRECT
Drawer,Drawer,CORRECT
Nada,Nada,CORRECT
Nada,Nada,CORRECT
Patience,Patience,CORRECT
Bright,Bright,CORRECT
Chewing-gum,Chewing-gum,CORRECT
Hungry,Hungry,CORRECT
Born,Born,CORRECT
Birthday,Birthday,CORRECT
Bathe,Bathe,CORRECT
Catch,Catch,CORRECT
Perfume,Perfume,CORRECT
Call,Call,CORRECT
Born,Born,CORRECT
Skimmer,Skimmer,CORRECT
Thanks,Thanks,CORRECT
Uruguay,Uruguay,CORRECT
Bitter,Bitter,CORRECT
Sweet milk,Sweet milk,CORRECT
Help,Help,CORRECT
Green,Green,CORRECT
Spaghetti,Spaghetti,CORRECT
Perfume,Perfume,CORRECT
Coin,Coin,CORRECT
Realize,Realize,CORRECT
Learn,Learn,CORRECT
Yogurt,Yogurt,CORRECT
Yellow,Yellow,CORRECT
Colors,Colors,CORRECT
Where,Where,CORRECT
